Anno,città_CORRETTA,Luogo_CORRETTO,Evento
1967,Torino,Teatro Alfieri,Majakovskij C. alla rivoluzione d'ottobre
1967,Torino,Teatro Gobetti,All'improvviso
1968,Brescia,Teatro Santa Chiara,Dietro il ponte c'è un cimitero
1968,Brescia,Teatro Santa Chiara,Lettere a un sindaco
1968,Carpi,,Gli uccelli [Cobelli '68]
1968,Firenze,Teatro Rondò di Bacco,Confronto I
1968,Milano,Piccolo Teatro di Milano,Visita alla prova de L’isola Purpurea di Michail Bulgakov
1968,Napoli,Centro Teatro Esse,"Il folle, la morte e i pupi"
1968,Napoli,Centro Teatro Esse,Uomo-Massa [Vitiello '68]
1968,Napoli,Executive Club,Ana/Logon
1968,Napoli,Teatro Alfred Jarry,Prove per una messainscena di Amleto di Shakesperare
1968,Roma,Dioniso club,Advertising Show
1968,Roma,Teatro alla Ringhiera,Il giudizio del dente
1968,Roma,Teatro Carmelo Bene,Arden of Feversham
1968,Roma,Teatro Carmelo Bene,Don Chisciotte
1968,Roma,Teatro Carmelo Bene,Sir and Lady Macbeth
1968,Roma,Teatro Carmelo Bene,Spettacolo Majakovskij
1968,Roma,Teatro del Leopardo,L'architetto e l'Imperatore d'Assiria
1968,Roma,Teatro del Leopardo,"La veste nuziale, Sette volte lo stesso peccato"
1968,Roma,Teatro delle Muse,I Creditori
1968,Roma,Teatro di via Belsiana,Il ricatto a teatro
1968,Roma,Teatro la Fede,26 opinioni su Marcel Duchamp
1968,Roma,Teatro la Fede,Escurial prova la scuola dei buffoni
1968,Roma,Teatro la Fede,Marcel Duchamp - conferenza - mixed media
1968,Roma,Teatro Valle,Nella giungla delle città
1968,Torino,Teatro Gobetti,I testimoni
1968,Torino,Unione Culturale,James Joyce
1969,Bologna,,Scontri generali I (bianco)
1969,Budrio,Teatro Consorziale,Woyzeck [Cobelli '69]
1969,Firenze,Teatro Rondò di Bacco,L'obbedienza non è più una virtù
1969,Milano,,Il Grande Funzionario (Il Presidente)
1969,Milano,,Il Grande Pupazzo (Il Totem)
1969,Modena,Teatro Comunale,Il precettore
1969,Napoli,Centro Teatro Esse,I Negri
1969,Napoli,Centro Teatro Esse,Prove per la messa in scena di Medea
1969,Napoli,Teatro Alfred Jarry,Fall-out
1969,Padova,Ridotto del Teatro Verdi,...e venne uno con un lungo coltello...
1969,Roma,,Oloferne tratto dalla storia di Giuditta di Hebbel
1969,Roma,Beat 72,Missione Psicopolitica
1969,Roma,Beat 72,Woyzech [Mazzoni '69]
1969,Roma,Teatro alla Ringhiera,Evaristo
1969,Roma,Teatro alla Ringhiera,Molte voci intorno ad Oreste
1969,San Vincenzo degli Etruschi,,Fuochi sulle colline e drago che uscirà dal mare (Il Drago)
1969,Spoleto,Festival de Due Mondi,Orlando Furioso [Ronconi Spoleto '69]
1969,Torino,Teatro Gobetti,Prova del Woyzeck di Buchner
1969,Torino,Unione culturale,Il barone di Munchausen
1969,Urbino,Teatro Spento,Faust
1969,Urbino,Teatro Spento,Macbeth
1969,Venezia,Biennale di Venezia,Sette contro Tebe
1969,Venezia,Teatro Grassi,Il lavoro teatrale
1969,Vicenza,Teatro Olimpico,Woyzech [Mezzadri '69]
1970,Bologna,,La vita è sogno
1970,Bologna,,Uomo-Massa [Guicciardini '70]
1970,Bologna,Teatro La Ribalta,I Cenci [Molè '70]
1970,Firenze,Villa La Pavoniera alle Cascine,Amleto o le disgrazie della virtù
1970,Genova,Teatro dell’Opera Teatro Margherita,Colloquio con Malcom X
1970,L'Aquila,Teatro Stabile,A come Alice
1970,Napoli,Centro Teatro Esse,Medea
1970,Napoli,Centro Teatro Esse,SpaSamiòLiPi
1970,New York,Bryant Park,Orlando Furioso [Ronconi New York '70]
1970,Prato,Teatro Metastasio,L'altra ferita
1970,Roma,,A Charlie Parker (film)
1970,Roma,Beat 72,Bertolt Brecht: gli anni della lotta
1970,Roma,Beat 72,Happening in onore di Angela Davis
1970,Roma,Beat 72,I teologi
1970,Roma,Beat 72,L'occupazione
1970,Roma,Teatro di via Stamira,Finale di partita [Sepe '70]
1970,Roma,Teatro di via Stamira,I misteri dell'amore
1970,Roma,Teatro la Fede,L'imperatore della Cina
1970,Roma,Teatro Leopardo,Giorni felici
1970,Venezia,Palazzo Grassi,"Ludus per ""Haute surveillance"""
1970,Venezia,Palazzo Grassi,Re Lear: da un'idea di gran teatro di William Shakespeare
1971,Bologna,Teatro La Ribalta,Charles del divino amore
1971,Genova,Teatro dell’Opera Teatro Margherita,I sette peccati capitali
1971,Genova,Teatro dell’Opera Teatro Margherita,Laborintus II
1971,Marigliano,,Compromesso storico a Marigliano (film)
1971,Napoli,Palazzetto dello Sport di Mestre,"Scontri generali [Versione 1971, Venezia]"
1971,Palermo,III Rassegna Teatro Nuovo,Moby Dick
1971,Parigi,Théâtre Odéon (Théâtre des Nations),XX (La roue)
1971,Roma,,Camion (inizio del viaggio)
1971,Roma,Beat 72,Amleto [Vasilicò '71]
