Attore,Evento,Anno,Relazione,Data_old,Data_flat,Luogo_CORRETTO,città_CORRETTA,"Luogo, città _ORIGINALE",LENGHT
Matteo De Simone,Lotus seven 2006,1979,recitato in,23 June 1979,23 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Franco Raggi,Ebdomero,1979,ha curato scene/costumi per,11 May 1979,11 May 1979,XII Rassegna Internazionale dei Teatri Stabili,Firenze,"XII Rassegna Internazionale dei Teatri Stabili, Firenze ",46
Riccardo Ragozzino,Lotus seven 2006,1979,recitato in,23 June 1979,23 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Toni Servillo,Lotus seven 2006,1979,recitato in,23 June 1979,23 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Benedetto Simonelli,Midsummer Night’s Dream,1979,recitato in,24 June 1979,24 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Esmeralda Simonelli,Midsummer Night’s Dream,1979,altro tipo di collaborazione,24 June 1979,24 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Paola Navone,Ebdomero,1979,ha curato scene/costumi per,11 May 1979,11 May 1979,XII Rassegna Internazionale dei Teatri Stabili,Firenze,"XII Rassegna Internazionale dei Teatri Stabili, Firenze ",46
Luigi Brovadan,Midsummer Night’s Dream,1979,altro tipo di collaborazione,24 June 1979,24 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Serafino Amato,Midsummer Night’s Dream,1979,altro tipo di collaborazione,24 June 1979,24 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Antonello Neri,La conquista del Messico,1972,ha curato musiche/sonoro per,November 1972,November 1972,,Bruxelles,Bruxelles,0
Antonin Artaud,La conquista del Messico,1972,testo/soggetto per,November 1972,November 1972,,Bruxelles,Bruxelles,0
Andrea Renzi,Theatre Functions Critical,1979,altro tipo di collaborazione,11 June 1979,11 June 1979,Beat 72,Roma,"Beat 72, Roma",7
Bruno Mazzali,La conquista del Messico,1972,ha diretto,November 1972,November 1972,,Bruxelles,Bruxelles,0
Angelo Curti,Theatre Functions Critical,1979,altro tipo di collaborazione,11 June 1979,11 June 1979,Beat 72,Roma,"Beat 72, Roma",7
Federica della Ratta Rinaldi,Theatre Functions Critical,1979,altro tipo di collaborazione,11 June 1979,11 June 1979,Beat 72,Roma,"Beat 72, Roma",7
Tamborazo Zcatecano,La conquista del Messico,1972,ha curato musiche/sonoro per,November 1972,November 1972,,Bruxelles,Bruxelles,0
Aldo Sisillo,Il racconto del teatro,1977,ha curato musiche/sonoro per,November 1977,November 1977,,Bologna,Bologna,0
Giuliano Scabia,Il racconto del teatro,1977,ha diretto,November 1977,November 1977,,Bologna,Bologna,0
Pasquale Mari,Theatre Functions Critical,1979,altro tipo di collaborazione,11 June 1979,11 June 1979,Beat 72,Roma,"Beat 72, Roma",7
Giuliano Scabia,Il racconto del teatro,1977,testo/soggetto per,November 1977,November 1977,,Bologna,Bologna,0
Manuela Parigi,Il racconto del teatro,1977,ha curato musiche/sonoro per,November 1977,November 1977,,Bologna,Bologna,0
Stefano Barnaba,Il racconto del teatro,1977,ha curato musiche/sonoro per,November 1977,November 1977,,Bologna,Bologna,0
Angela Diana,Improbabile messinscena di Amleto Principe di Danimarca di Vladimir Majakovskij Principe dei Soviet,1977,ha curato scene/costumi per,March 1977,March 1977,,Nazzano Romano,Nazzano Romano,0
Andrea Renzi,Theatre Functions Terminated,1979,altro tipo di collaborazione,24 June 1979,24 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Angelo Curti,Theatre Functions Terminated,1979,altro tipo di collaborazione,24 June 1979,24 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Federica della Ratta Rinaldi,Theatre Functions Terminated,1979,altro tipo di collaborazione,24 June 1979,24 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Pasquale Mari,Theatre Functions Terminated,1979,altro tipo di collaborazione,24 June 1979,24 June 1979,"Rassegna ""Passaggio a sud-ovest""",Caserta,"Rassegna ""Passaggio a sud-ovest"", Caserta",32
Alessandro Leggiadro,Mickey Mouse (studio per ambiente),1979,recitato in,17 March 1979,17 March 1979,Rassegna Nuova creatività del mezzogiorno,Napoli,"Rassegna Nuova creatività del mezzogiorno, Napoli",41
Eugenio Tascione,Mickey Mouse (studio per ambiente),1979,recitato in,17 March 1979,17 March 1979,Rassegna Nuova creatività del mezzogiorno,Napoli,"Rassegna Nuova creatività del mezzogiorno, Napoli",41
Mario Ricci,Improbabile messinscena di Amleto Principe di Danimarca di Vladimir Majakovskij Principe dei Soviet,1977,ha curato musiche/sonoro per,March 1977,March 1977,,Nazzano Romano,Nazzano Romano,0
Mario Ricci,Improbabile messinscena di Amleto Principe di Danimarca di Vladimir Majakovskij Principe dei Soviet,1977,ha curato scene/costumi per,March 1977,March 1977,,Nazzano Romano,Nazzano Romano,0
Mario Ricci,Improbabile messinscena di Amleto Principe di Danimarca di Vladimir Majakovskij Principe dei Soviet,1977,ha curato scene/costumi per,March 1977,March 1977,,Nazzano Romano,Nazzano Romano,0
Mario Ricci,Improbabile messinscena di Amleto Principe di Danimarca di Vladimir Majakovskij Principe dei Soviet,1977,ha diretto,March 1977,March 1977,,Nazzano Romano,Nazzano Romano,0
Mario Ricci,Improbabile messinscena di Amleto Principe di Danimarca di Vladimir Majakovskij Principe dei Soviet,1977,testo/soggetto per,March 1977,March 1977,,Nazzano Romano,Nazzano Romano,0
Matteo De Simone,Mickey Mouse (studio per ambiente),1979,recitato in,17 March 1979,17 March 1979,Rassegna Nuova creatività del mezzogiorno,Napoli,"Rassegna Nuova creatività del mezzogiorno, Napoli",41
Riccardo Ragozzino,Mickey Mouse (studio per ambiente),1979,recitato in,17 March 1979,17 March 1979,Rassegna Nuova creatività del mezzogiorno,Napoli,"Rassegna Nuova creatività del mezzogiorno, Napoli",41
Toni Servillo,Mickey Mouse (studio per ambiente),1979,recitato in,17 March 1979,17 March 1979,Rassegna Nuova creatività del mezzogiorno,Napoli,"Rassegna Nuova creatività del mezzogiorno, Napoli",41
Giuliano Scabia,Il Grande Pupazzo (Il Totem),1969,ha diretto,February 1969,February 1969,,Milano,Milano,0
Alessandro Leggiadro,Dal vivo (azione teatrale),1979,recitato in,8 May 1979,8 May 1979,Rassegna Nuova creatività del mezzogiorno,Napoli,"Rassegna Nuova creatività del mezzogiorno, Napoli",41
Eugenio Tascione,Dal vivo (azione teatrale),1979,recitato in,8 May 1979,8 May 1979,Rassegna Nuova creatività del mezzogiorno,Napoli,"Rassegna Nuova creatività del mezzogiorno, Napoli",41
