Attore,Evento,Anno,Relazione,Data_old,Data_flat,Luogo_CORRETTO,città_CORRETTA,"Luogo, città _ORIGINALE",LENGHT
Carmelo Bene,"Otello, o della deficienza della donna",1979,ha diretto,18 January 1979,18 January 1979,Teatro Quirino,Roma,"Teatro Quirino, Roma",14
Mariarita Ruffini,Amleto [Nanni '78],1978,recitato in,27 July 1978,27 July 1978,Teatro Romano,Verona,"Teatro Romano, Verona",13
Alga Fox,Vedute di Porto Said (Interni in esterno -Esterni in interno- Studi n. 33-38),1978,recitato in,3 February 1978,3 February 1978,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Federico Tiezzi,Vedute di Porto Said (Interni in esterno -Esterni in interno- Studi n. 33-38),1978,recitato in,3 February 1978,3 February 1978,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Luca Abromovich,Vedute di Porto Said (Interni in esterno -Esterni in interno- Studi n. 33-38),1978,recitato in,3 February 1978,3 February 1978,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Luisa Saviori,Vedute di Porto Said (Interni in esterno -Esterni in interno- Studi n. 33-38),1978,recitato in,3 February 1978,3 February 1978,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Marion D'Amburgo,Vedute di Porto Said (Interni in esterno -Esterni in interno- Studi n. 33-38),1978,recitato in,3 February 1978,3 February 1978,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Luigi Zito,"Otello, o della deficienza della donna",1979,ha curato musiche/sonoro per,18 January 1979,18 January 1979,Teatro Quirino,Roma,"Teatro Quirino, Roma",14
Pierluigi Tazzi,Vedute di Porto Said (Interni in esterno -Esterni in interno- Studi n. 33-38),1978,recitato in,3 February 1978,3 February 1978,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Sandro Lombardi,Vedute di Porto Said (Interni in esterno -Esterni in interno- Studi n. 33-38),1978,recitato in,3 February 1978,3 February 1978,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
William Shakespeare,"Otello, o della deficienza della donna",1979,testo/soggetto per,18 January 1979,18 January 1979,Teatro Quirino,Roma,"Teatro Quirino, Roma",14
Leo De Berardinis,Avita murì,1978,recitato in,26 January 1978,26 January 1978,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
Perla Peragallo,Avita murì,1978,recitato in,26 January 1978,26 January 1978,Teatro Rondò di Bacco,Firenze,"Teatro Rondò di Bacco, Firenze",21
